CVE_MUN,municipio,estado,NOM_ACUI,rha,POB_TOT,IM_2020,VA_Industrial,VA_Agricola,Tax_Ind_Millones,Vol_Extraccion_Total
1001,Aguascalientes,Aguascalientes,ENCARNACIÓN,Lerma-Santiago-Pacífico,948990.0,60.3187950417198,250183.301,53.583,165.90132,132.5122
1002,Asientos,Aguascalientes,PRIMO VERDAD,Lerma-Santiago-Pacífico,51536.0,56.546071016613,101.431,0.0,3.06096,48.10575
1003,Calvillo,Aguascalientes,ENCARNACIÓN,Lerma-Santiago-Pacífico,58250.0,57.0582509369582,1782.832,5.714,0.93443,81.47925
1004,Cosío,Aguascalientes,VALLE DE AGUASCALIENTES,Lerma-Santiago-Pacífico,17000.0,57.1140301001378,683.868,0.0,0.0,26.43184
1005,Jesús María,Aguascalientes,VENADERO,Lerma-Santiago-Pacífico,129929.0,59.0117616967172,41886.869,0.38,16.23277,44.735609999999994
1006,Pabellón de Arteaga,Aguascalientes,VALLE DE CHICALOTE,Lerma-Santiago-Pacífico,47646.0,58.6247678266779,665.852,0.0,0.1473,41.702580000000005
1007,Rincón de Romos,Aguascalientes,VALLE DE AGUASCALIENTES,Lerma-Santiago-Pacífico,57369.0,57.6466713495514,4242.823,0.675,2.50162,54.09823
1008,San José de Gracia,Aguascalientes,JALPA-JUCHIPILA,Lerma-Santiago-Pacífico,9552.0,57.5275305589345,58.203,0.0,0.0,6.41663
1009,Tepezalá,Aguascalientes,VALLE DE CHICALOTE,Lerma-Santiago-Pacífico,22485.0,56.6043143837497,6722.11,0.0,5.76417,32.810610000000004
1010,El Llano,Aguascalientes,ENCARNACIÓN,Lerma-Santiago-Pacífico,20853.0,56.5557942161932,752.0619999999999,0.0,0.0,20.41163
1011,San Francisco de los Romo,Aguascalientes,VALLE DE CHICALOTE,Lerma-Santiago-Pacífico,61997.0,58.5520978333435,35281.994,0.0,47.26429,22.619670000000003
2001,Ensenada,Baja California,SAN SIMÓN,Península de Baja California,443807.0,58.082237567032,30240.082,6686.777,7.13949,417.40326
2002,Mexicali,Baja California,EL CHINERO,Península de Baja California,1049792.0,59.3849890945595,180172.46,333.034,84.06041,2218.23663
2003,Tecate,Baja California,LAGUNA SALADA,Península de Baja California,108440.0,58.3900774399861,29457.209000000003,0.0,0.35331,16.9988
2004,Tijuana,Baja California,LA MISIÓN,Península de Baja California,1922523.0,59.1402868170204,331766.707,0.0,13.82831,11.57637
2005,Playas de Rosarito,Baja California,LA MISIÓN,Península de Baja California,126890.0,58.291417465293,9030.17,0.0,1.00357,6.63686
